codigo_ocorrencia1,codigo_ocorrencia2,category_group,aeronave_fatalidades_total
79591,79591,Engine-Related Issues,0
80111,80111,System or Component Failure,0
53236,53236,Engine-Related Issues,0
51571,51571,System or Component Failure,0
65750,65750,Unknonw,1
80512,80512,Loss of Control,0
79153,79153,System or Component Failure,0
52340,52340,Runway and Landing Issues,2
78144,78144,Animal Collisions,0
78954,78954,System or Component Failure,0
81113,81113,Loss of Control,0
80804,80804,Runway and Landing Issues,0
80483,80483,Others/Miscellaneous,1
79723,79723,Engine-Related Issues,0
78969,78969,System or Component Failure,0
66810,66810,Loss of Control,0
53213,53213,System or Component Failure,0
78489,78489,Runway and Landing Issues,0
81066,81066,Engine-Related Issues,0
80876,80876,Others/Miscellaneous,0
52599,52599,System or Component Failure,0
79149,79149,System or Component Failure,0
81262,81262,Engine-Related Issues,0
79100,79100,Loss of Control,0
48832,48832,Animal Collisions,0
65929,65929,Loss of Control,1
67159,67159,Animal Collisions,0
77255,77255,Runway and Landing Issues,0
81138,81138,Others/Miscellaneous,0
78780,78780,Loss of Control,0
60634,60634,Loss of Control,2
79238,79238,System or Component Failure,0
51463,51463,System or Component Failure,0
79858,79858,Animal Collisions,0
51732,51732,System or Component Failure,0
78023,78023,Loss of Control,0
80065,80065,Runway and Landing Issues,0
79344,79344,Others/Miscellaneous,0
60790,60790,Engine-Related Issues,0
49113,49113,Runway and Landing Issues,0
78102,78102,Navigation and Air Traffic Issues,0
78998,78998,Runway and Landing Issues,0
53581,53581,Loss of Control,0
66891,66891,Others/Miscellaneous,1
52597,52597,System or Component Failure,0
80610,80610,Navigation and Air Traffic Issues,0
50838,50838,Loss of Control,0
79888,79888,System or Component Failure,0
51098,51098,System or Component Failure,0
66444,66444,Loss of Control,0
53547,53547,Loss of Control,1
49704,49704,System or Component Failure,0
81108,81108,System or Component Failure,0
52754,52754,Runway and Landing Issues,0
66449,66449,System or Component Failure,0
80621,80621,Loss of Control,0
77676,77676,Animal Collisions,0
79586,79586,System or Component Failure,0
51317,51317,Animal Collisions,0
78562,78562,System or Component Failure,0
78181,78181,Others/Miscellaneous,0
79175,79175,System or Component Failure,0
49494,49494,Loss of Control,0
52341,52341,Unknonw,1
66247,66247,System or Component Failure,0
80309,80309,System or Component Failure,0
79437,79437,Engine-Related Issues,1
66512,66512,System or Component Failure,0
47200,47200,System or Component Failure,0
80959,80959,Navigation and Air Traffic Issues,0
80898,80898,Runway and Landing Issues,0
79252,79252,System or Component Failure,0
77513,77513,System or Component Failure,0
47351,47351,Loss of Control,0
66334,66334,Loss of Control,0
77893,77893,Loss of Control,0
78762,78762,Loss of Control,0
47299,47299,Animal Collisions,0
78522,78522,Navigation and Air Traffic Issues,0
79584,79584,Fire and Smoke Incidents,0
51473,51473,System or Component Failure,0
79142,79142,System or Component Failure,0
79235,79235,Engine-Related Issues,0
80155,80155,System or Component Failure,0
78894,78894,Loss of Control,0
51719,51719,Loss of Control,0
78857,78857,System or Component Failure,0
80797,80797,Runway and Landing Issues,0
81188,81188,Runway and Landing Issues,0
78927,78927,System or Component Failure,0
60768,60768,Engine-Related Issues,0
79755,79755,Navigation and Air Traffic Issues,4
51545,51545,Others/Miscellaneous,0
77742,77742,Navigation and Air Traffic Issues,0
78999,78999,Engine-Related Issues,0
80616,80616,Runway and Landing Issues,0
48653,48653,Runway and Landing Issues,0
80258,80258,Runway and Landing Issues,0
79664,79664,Runway and Landing Issues,0
79089,79089,Navigation and Air Traffic Issues,0
52633,52633,Runway and Landing Issues,0
48219,48219,Animal Collisions,0
78950,78950,Others/Miscellaneous,0
50337,50337,Loss of Control,1
51004,51004,Loss of Control,0
79901,79901,System or Component Failure,0
48739,48739,System or Component Failure,0
80046,80046,Loss of Control,0
78773,78773,Runway and Landing Issues,0
77498,77498,Runway and Landing Issues,0
52552,52552,Runway and Landing Issues,0
80466,80466,Animal Collisions,0
66551,66551,System or Component Failure,0
52291,52291,Loss of Control,0
80990,80990,Loss of Control,0
49122,49122,Runway and Landing Issues,0
